id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
30394608;Rental unit in Barcelona · 2 bedrooms · 2 beds · 1 bath;216268236;EasyRentals;Eixample;la Sagrada Família;4.140.227;217.532;Entire home/apt;80;32;1;07/07/2019;0.02;3;210;0;
30054699;Rental unit in Barcelona · 2 bedrooms · 3 beds · 1 bath;225861350;Xavi;Sant Martí;Provençals del Poblenou;4.140.829;220.356;Entire home/apt;80;32;0;;;1;0;0;
30413525;Rental unit in Barcelona · ★4.53 · 2 bedrooms · 5 beds · 1 bath;227783078;Lina&Nick;Eixample;l'Antiga Esquerra de l'Eixample;4.138.651;215.969;Entire home/apt;243;3;131;06/06/2023;2.46;3;276;41;HUTB-012620
30414062;Serviced apartment in Barcelona · ★4.96 · 2 bedrooms · 4 beds · 1 bath;147646238;Arturo;Eixample;la Sagrada Família;4.140.527;21.772;Entire home/apt;152;31;45;29/05/2023;0.89;9;136;6;Exempt
29675568;Rental unit in Barcelona · ★4.63 · 1 bedroom · 1 bed · 1 bath;202748902;Maria Carmen;Eixample;Sant Antoni;4.137.665;215.165;Entire home/apt;47;90;8;01/06/2022;0.16;2;196;0;
30055685;Rental unit in Barcelona · ★4.31 · 2 bedrooms · 2 beds · 1 bath;222565085;Marta;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4.139.955;2.152;Entire home/apt;94;32;13;15/02/2023;0.24;1;287;4;Exempt
29696685;Rental unit in Barcelona · ★4.80 · 4 bedrooms · 7 beds · 2 baths;223473665;Blau Apartment;Eixample;la Dreta de l'Eixample;4.139.271;215.986;Entire home/apt;310;4;5;16/03/2020;0.09;1;73;0;HUTB-003994
30417384;Bed and breakfast in Barcelona · ★4.48 · 1 bedroom · 2 beds · 1 shared bath;1580542;Andrea;Horta-Guinardó;el Guinardó;4.141.669;21.781;Private room;33;31;145;25/03/2023;2.68;1;131;25;
30055921;Rental unit in Barcelona · ★4.81 · 2 bedrooms · 2 beds · 1 bath;4268101;Carles;Eixample;la Nova Esquerra de l'Eixample;4.138.178;214.429;Entire home/apt;86;30;16;08/05/2023;0.30;2;44;7;
30465505;Rental unit in Barcelona · ★4.92 · 2 bedrooms · 1 bed · 1 shared bath;193881157;Silvana;Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;4.141.031;221.023;Private room;90;31;13;19/08/2022;0.24;1;365;9;
29697224;Hostel in Barcelona · ★4.39 · 6 bedrooms · 19 beds · 6 baths;223478478;Tariffy;Eixample;Sant Antoni;4.137.621;215.432;Private room;730;1;44;22/05/2023;0.78;6;267;15;AJ-000622
30058023;Boutique hotel in Barcelona · ★4.83 · 1 bedroom · 1 bed · 1 private bath;225708649;Sami Itg;Eixample;la Dreta de l'Eixample;4.139.201;216.429;Private room;258;1;59;09/09/2022;1.08;2;0;3;HB-004376
29718808;Rental unit in Barcelona · 2 bedrooms · 1 bed · 1 shared bath;218093693;Anna;Sant Martí;la Verneda i la Pau;4.142.682;220.425;Private room;30;5;0;;;1;0;0;
30466100;Rental unit in Barcelona · ★5.0 · 1 bedroom · 1 bed · 1 bath;228731310;Jose;Ciutat Vella;el Raval;4.138.198;21.685;Entire home/apt;52;32;16;27/05/2023;0.33;1;224;6;
30081442;Home in Barcelona · ★3.67 · 1 bedroom · 1 bed · 1 shared bath;161302379;Andrea;Ciutat Vella;el Raval;4.137.939;21.691;Private room;50;1;3;23/12/2018;0.05;1;0;0;
30488093;Rental unit in Barcelona · ★4.14 · 1 bedroom · 1 bed · 1 bath;109716786;EasyFlat;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4.138.171;218.226;Entire home/apt;54;32;7;28/10/2022;0.14;2;110;2;
30781647;Rental unit in Barcelona · ★4.89 · 3 bedrooms · 7 beds · 2 baths;15775899;Antonio;Eixample;la Dreta de l'Eixample;4.139.167;217.634;Entire home/apt;334;3;113;06/06/2023;2.09;7;238;44;HUTB-006853
30782224;Rental unit in Barcelona · ★4.78 · Studio · 1 bed · 1 bath;40676061;Be Barcelona;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4.138.886;217.588;Entire home/apt;291;1;136;03/06/2023;2.55;20;309;60;HUTB-009459
30088080;Rental unit in Barcelona · Studio · 1 bed · 1 shared bath;60795186;Alexander;Sant Martí;el Clot;4.140.731;218.598;Private room;20;30;0;;;1;0;0;
30488951;Rental unit in Barcelona · 2 bedrooms · 1 bed · 1 bath;228830166;Ashley;Eixample;la Dreta de l'Eixample;4.139.667;216.185;Entire home/apt;200;31;0;;;2;365;0;
30103979;Rental unit in Barcelona · ★5.0 · 4 bedrooms · 5 beds · 2 baths;1447144;Acomodis Apartments;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4.138.269;218.113;Entire home/apt;286;2;3;13/07/2020;0.07;141;241;0;HUTB-003800
30489236;Rental unit in Barcelona · ★5.0 · 1 bedroom · 1 bed · 1 shared bath;228830166;Ashley;Eixample;la Dreta de l'Eixample;413.964;216.371;Private room;80;10;6;06/10/2022;0.11;2;147;1;
30104060;Rental unit in Barcelona · ★5.0 · 2 bedrooms · 2 beds · 1 bath;213105052;Esteban;Sant Andreu;Navas;4.141.779;218.575;Entire home/apt;50;31;5;05/02/2022;0.10;2;160;0;
30489606;Rental unit in Barcelona · 1 bedroom · 1 bed · 1 shared bath;228834394;Malena;Eixample;la Nova Esquerra de l'Eixample;4.138.052;215.134;Private room;30;4;0;;;1;0;0;
30489792;Rental unit in Barcelona · ★4.25 · 1 bedroom · 1 bed · 1 bath;2439400;KeyBarcelona;Horta-Guinardó;el Guinardó;414.158;217.729;Entire home/apt;120;1;16;27/05/2023;0.34;47;6;9;HUTB-007010
30785585;Rental unit in Barcelona · ★4.48 · 1 bedroom · 3 beds · 1 bath;1205494;Gian Franco;Gràcia;la Vila de Gràcia;413.982;21.581;Entire home/apt;179;1;82;07/05/2023;1.56;9;85;27;HUTB-002301
30787688;Rental unit in Barcelona · ★4.98 · 4 bedrooms · 5 beds · 3 baths;3556337;Alejandro;Horta-Guinardó;el Guinardó;41.415.905;2.178.665;Entire home/apt;230;1;89;05/06/2023;1.65;35;287;42;HUTB-004817
30104290;Rental unit in Barcelona · 1 bedroom · 1 bed · 1 shared bath;226198703;Antonio;Les Corts;les Corts;4.138.309;213.148;Private room;295;30;0;;;1;179;0;
30789223;Rental unit in Barcelona · 2 bedrooms · 5 beds · 1 bath;1447144;Acomodis Apartments;Ciutat Vella;el Barri Gòtic;4.138.207;218.115;Entire home/apt;251;1;2;05/08/2022;0.04;141;265;1;HUTB-002780
30489853;Rental unit in Barcelona · 1 bedroom · 1 bed · 1 bath;2439400;KeyBarcelona;Sants-Montjuïc;el Poble Sec;4.137.254;216.322;Entire home/apt;39;31;2;10/03/2019;0.04;47;0;0;Exempt
30107470;Rental unit in Barcelona · 3 bedrooms · 4 beds · 1 bath;1447144;Acomodis Apartments;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4.138.266;218.098;Entire home/apt;277;1;1;03/11/2019;0.02;141;365;0;HUTB-003801
30118021;Rental unit in Barcelona · 1 bedroom · 2 beds · 1 shared bath;226305554;Michael;Ciutat Vella;el Raval;4.137.677;216.642;Private room;25;1;2;09/12/2018;0.04;1;0;0;
30489856;Rental unit in Barcelona · 1 bedroom · 2 beds · 1 bath;2439400;KeyBarcelona;Sants-Montjuïc;el Poble Sec;4.137.057;216.478;Entire home/apt;36;31;1;08/08/2019;0.02;47;0;0;Exempt
30489858;Rental unit in Barcelona · 1 bedroom · 1 bed · 1 bath;2439400;KeyBarcelona;Ciutat Vella;el Raval;4.137.837;216.846;Entire home/apt;36;30;0;;;47;0;0;Exempt
30489865;Rental unit in Barcelona · 1 bedroom · 1 bed · 1 bath;2439400;KeyBarcelona;Sants-Montjuïc;el Poble Sec;4.137.345;217.139;Entire home/apt;49;31;1;13/01/2022;0.06;47;77;0;Exempt
30811407;Rental unit in Barcelona · ★4.46 · 4 bedrooms · 5 beds · 2 baths;230493883;Daniel;Sants-Montjuïc;la Bordeta;4.136.586;213.541;Entire home/apt;180;2;90;02/06/2023;1.67;1;38;35;HUTB-012372
30138292;Rental unit in Barcelona · ★4.65 · Studio · 1 bed · 0 shared baths;219420012;Elena;Sant Martí;Provençals del Poblenou;414.104;219.796;Private room;21;1;40;30/12/2019;0.72;1;0;0;
30811915;Rental unit in Barcelona · 1 bedroom · 2 beds · 1 private bath;230335402;Dmytro;Ciutat Vella;la Barceloneta;4.138.073;218.658;Private room;70;32;0;;;1;363;0;
30490468;Rental unit in Barcelona · 2 bedrooms · 1 bed · 1 shared bath;15424721;Karim;Gràcia;la Vila de Gràcia;4.140.502;21.561;Private room;31;2;1;07/02/2019;0.02;2;0;0;
30140705;Rental unit in Barcelona · 2 bedrooms · 5 beds · 1 bath;1447144;Acomodis Apartments;Eixample;la Sagrada Família;4.140.178;217.257;Entire home/apt;234;1;2;14/07/2022;0.04;141;365;1;HUTB-001918
30494183;Rental unit in Barcelona · 8 bedrooms · 20 beds · 4 baths;1447144;Acomodis Apartments;Eixample;la Sagrada Família;41.402;217.107;Entire home/apt;1143;1;2;08/02/2020;0.04;141;364;0;HUTB-001915
30832921;Rental unit in Barcelona · 1 bedroom · 1 bed · 1 bath;7906740;Angeles;Sants-Montjuïc;la Bordeta;4.137.113;21.344;Entire home/apt;70;2;2;11/07/2021;0.04;5;0;0;HUTB-012688
30142266;Rental unit in Barcelona · ★4.75 · 1 bedroom · 3 beds · 1 private bath;226468265;Noam;Eixample;l'Antiga Esquerra de l'Eixample;4.138.803;215.599;Private room;80;5;12;26/07/2020;0.23;1;0;0;
30840983;Rental unit in Barcelona · ★4.71 · 4 bedrooms · 11 beds · 3 baths;4985749;My Address;Eixample;la Dreta de l'Eixample;4.139.048;217.451;Entire home/apt;410;6;63;15/04/2023;1.22;19;221;32;HUTB-002279
30143898;Rental unit in Barcelona · ★4.75 · 1 bedroom · 1 bed · 1.5 baths;86278272;John;Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;4.140.457;213.199;Entire home/apt;150;10;16;19/08/2022;0.29;4;110;2;HUTB-010752
30842084;Rental unit in Barcelona · ★4.89 · 2 bedrooms · 5 beds · 1 bath;1447144;Acomodis Apartments;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4.138.288;218.112;Entire home/apt;277;1;9;29/11/2022;0.17;141;365;3;HUTB-002780
30514508;Rental unit in Barcelona · ★4.87 · 1 bedroom · 1 bed · 1.5 shared baths;15935599;Daniela;Eixample;la Sagrada Família;4.140.758;218.111;Private room;55;2;83;04/06/2023;1.57;1;301;51;
30516930;Rental unit in Barcelona · ★4.83 · 2 bedrooms · 2 beds · 2 baths;47171261;Lodging Team;Eixample;l'Antiga Esquerra de l'Eixample;4.138.416;215.735;Entire home/apt;135;32;6;22/05/2023;0.21;72;89;2;Exempt
30150814;Rental unit in Barcelona · ★4.86 · 2 bedrooms · 4 beds · 2 baths;225905456;Batlle;Eixample;la Dreta de l'Eixample;4.139.455;216.023;Entire home/apt;260;2;21;10/04/2023;0.39;1;60;13;HUTB-002828
30166327;casa particular in Barcelona · 1 bedroom · 1 bed · 1 shared bath;3077968;Alex;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4.140.319;214.177;Private room;75;30;0;;;1;89;0;
30517887;Rental unit in Barcelona · ★4.29 · 2 bedrooms · 4 beds · 1 bath;193820788;Uma Suites;Ciutat Vella;la Barceloneta;413.794;218.803;Entire home/apt;287;1;155;19/05/2023;2.85;2;210;83;HUTB002228
30843660;Rental unit in Barcelona · ★4.44 · 3 bedrooms · 5 beds · 1 bath;1447144;Acomodis Apartments;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4.138.672;218.028;Entire home/apt;251;1;9;04/02/2023;0.17;141;357;3;HUTB-000192
30187366;Rental unit in Barcelona · ★4.20 · 1 bedroom · 1 bed · 1.5 shared baths;32779017;Fernanda;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4.138.849;217.442;Private room;50;3;5;08/09/2019;0.10;1;0;0;
30844072;Rental unit in Barcelona · ★4.97 · 1 bedroom · 1 bed · 1 private bath;4844427;Valérie;Sants-Montjuïc;el Poble Sec;4.137.182;215.619;Private room;50;31;68;10/10/2022;1.30;1;139;15;
30517904;Rental unit in Barcelona · ★4.33 · 3 bedrooms · 5 beds · 1 bath;193820788;Uma Suites;Ciutat Vella;la Barceloneta;4.137.804;218.961;Entire home/apt;316;1;46;26/05/2023;0.96;2;194;27;HUTB002228
